Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Bubur Ayam Oatmeal,"['Makan Siang', 'Makan Pagi', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['30 gram dada ayam', '1 sedang telur rebus', '30 g instant oatmeal', '50 g sayur toge']","['Rebus ayam dan toge sampai masak.', 'Tiriskan ayam lalu cabik.', 'Selanjutnya masukkan oatmeal kedalam air bekas rebusan ayam. Tunggu sampai oatmeal matang.', 'Tambahkan merica dan garam.', 'Angkat oatmeal dan pindahkan ke piring.', 'Berikan toping telur rebus dan ayam di atasnya.']",1272 kj,"9,97g","35,65g","21,06g",304 kkal,"2,514g",0g,"1,974g","3,978g",211mg,"2,6g","0,49g",240mg,128mg
Salad Sayur,"['Makanan Pembuka', 'Lauk Pauk', 'Salad dan Salad Dressing', 'Makan Siang']",1 porsi,10 menit,0 menit,"['20 gram jeruk nipis', '1/4 mangkok, irisan paprika merah manis', '2 sdm kemangi', '1/2 mangkok, irisan mangga', '1/2 mangkok, dicincang kale', '10 gram bayam', '100 gram bengkoang', '25 gram bawang bombay']","['Potong dan iris semua bahan sesuai selera.', 'Tambahkan perasan jeruk nipis.', 'Tambahkan sedikit lada dan garam.', 'Aduk rata.']",561 kj,"0,74g","3,26g","32,69g",134 kkal,"0,137g",0,"0,297g","0,122g",0mg,"8,9g","16,4g",29mg,612mg
Bakwan Sayur Teflon,"['Lauk Pauk', 'Makanan Ringan', 'Makan Pagi', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['30 gram kecambah', '22 gram wortel', '3 gram seledri', '7 gram daun bawang', '55 ml air', '1 sdm extra virgin olive oil', '40 g tepung bakwan']","['Potong2 wortel, seledri n daun bawang.', 'Masukan kecambah, wortel, air dan tepung bakwan. Aduk rata dan bumbui dengan garam dan merica.', 'Beri teflon minyak zaitun. Panaskan minyak (jangan sampai terlalu panas).', 'Goreng hingga matang.']",904 kj,"6,72g","4,4g","34,6g",216 kkal,"0,93g",0g,"0,119g","4,817g",0mg,"1,4g","1,87g",21mg,123mg
Green Smoothie,"['Minuman', 'Makan Pagi']",1 porsi,5 menit,0 menit,"['50 gram celery', '10 g pisang single', '35 g oat', '15 g chia seed']","['Cuci bersih dab siapkan bahan.', 'Blend jadi satu.', 'Serving tabur chia seed.']",958 kj,"7,58g","6,94g","33,68g",229 kkal,"1,022g",0g,"0,04g","1,516g",0mg,10g,"1,22g",43mg,133mg
Cumi Hitam,"['Lauk Pauk', 'Hidangan Utama', 'Makan Siang']",3 porsi,10 menit,15 menit,"['457 gram cumi-cumi', '21 gram cabai merah atau rawit', '1/2 sdt garam', '37 gram bawang putih', '47 gram bawang merah', '1 sachet sweetener classic', '3 sdm saos tiram', '30 ml minyak goreng', '51 gram cabai merah besar']","['Potong potong cumi sesuai selera, iris bawang merah, bawang putih dan cabai.', 'Panaskan minyak lalu tumis bawang hingga layu, masukkan cabai beri garam, gula dan saus tiram.', 'Masukkan cumi aduk aduk hingga rata dan beri air.', 'Masak selama 5 menit lalu hidangkan.']",1165 kj,"12,43g","25,76g","16,89g",278 kkal,"4,793g",0g,"5,448g","4,363g",355mg,"2,6g","3,22g",750mg,643mg
Omlet Bayam,"['Lauk Pauk', 'Makan Pagi', 'Hidangan Utama']",4 porsi,10 menit,15 menit,"['3 sedang telur', '3 gram cabai merah atau rawit', '1 siung bawang putih', '1 ikat bayam', '2 kecil bawang merah', '5 g margarin', '2 g royco ayam']","['Pecahkan telur, masukan cincang bawang merah, bawang putih, cabai. Kocok.', 'Setelah tercampur masukan royco secukupnya.', 'Lalu masukan bayam yang sudah di ambil bagian daun nya saja.', 'Siapkan pan anti lengket, masukan margarin sedikit saja.', 'Masukan adonan omlet bayam, lalu masak hingga matang.', 'Bolak balik adonan dan pastikan semua matang merata.', 'Setelah yakin sudah matang, angkat dan sajikan.']",397 kj,"4,8g","7,04g","7,55g",95 kkal,"1,11g",0g,"0,676g","1,294g",140mg,"2,6g","2,2g",266mg,587mg
Pakcoy dengan Bawang Putih,"['Hidangan Utama', 'Lauk Pauk']",1 porsi,5 menit,15 menit,"['1 sdt garam', '1 sdt minyak wijen', '4 siung bawang putih', '1 sdt gula pasir', '1 sdm minyak goreng', '150 gram pakcoy', '3 g lada putih bubuk', '5.8 g saos tiram']","['Tumis bawang putih dengan minyak goreng.', 'Tambahkan saus tiram, garam, merica. Rebus pakcoy.', 'Tiriskan pakcoy, siram dengan kuah.']",808 kj,"14,68g","1,72g","14,22g",193 kkal,"4,673g",0,"5,956g","2,8g",0mg,"1,5g",7g,2629mg,236mg
Pokcoy Kuah Pedas,"['Hidangan Utama', 'Lauk Pauk', 'Makan Pagi', 'Makan Siang']",2 porsi,10 menit,15 menit,"['100 gram dada ayam', '1 besar telur', '10 gram cabai merah atau rawit', '1/2 sdt minyak wijen', '2 siung bawang putih', '1/2 gelas air', '1/2 sdt gula pasir', '1 sejumput garam laut', '2 kecil bawang merah', '1 sdm kecap manis', '100 gram pakcoy', '15 g saus sambal', '1 g royco ayam', '5 ml minyak kelapa', '1 g lada putih bubuk', '50 gram jamur kancing', '150 gram tahu susu']","['Rebus air dan sedikit garam, masukan pakcoy, tisirkan, tata dipiring.', 'Tumis bawang putih dan bawang merah dengan minyak kelapa sampai sedikit layu. Masukkan butir telur ayam biarkan matang, dibalik baru di orak arik, masukkan cabai, tumis sampai harum.', 'Masukkan ayam dan jamur kancing sampai ayam matang (berubah warna). Tambahkan garam, lada, royco, dan gula pasir.', 'Masukkan saus sambal, kecap manis, minyak wijen, aduk sampai rata, tambahkan air sesuai selera kemudian test rasa.', 'Terakhir masukkan tahu sebentar tidak usah diaduk-aduk, tunggu sampai air sedikit berkurang. Matikan api kompor, siram diatas pokcoy.']",1454 kj,"14,18g","29,26g","26,22g",348 kkal,"6,528g",0g,"2,256g","3,956g",158mg,3g,"14,72g",1103mg,581mg
Tempe Kecap,['Lauk Pauk'],1 porsi,5 menit,10 menit,"['2 siung bawang putih dimasak', '3 sdm cabai merah atau rawit', '1 sdt garam', '100 gram tempe', '2 kecil bawang merah', '1 sdm minyak goreng', '2 sdm kecap manis']","['Kupas bawang merah, bawang putih bawang putih dan cincang halus bersama cabai', 'Panaskan minyak. Tumis bumbu sampai harum', 'Masukan air, garam secukupnya, dan kecap manis', 'Masukan tempe yang udah dipotong dadu', 'Aduk-aduk hingga air susut']",2046 kj,"23,68g","22,38g","56,79g",489 kkal,"6,778g",0,"9,256g","4,469g",0mg,"6,4g","29,98g",3005mg,1043mg
Bayam Tumis Tahu,"['Makan Siang', 'Makan Pagi', 'Hidangan Utama']",1 porsi,10 menit,15 menit,"['1 besar telur', '150 gram bayam', '1 sdm minyak goreng', '230 gram tahu', '2 g royco ayam', '5 gram udang rebon', '1 sdm saos tiram']","['Tumis udang, lalu masukkan telur dan di orak-arik dengan minyak goreng.', 'Tambahkan tahu yg sudah di hancurkan.', 'Sesudah wangi, masukkan bayam lalu tambahkan saos tiram dan royco.', 'Tunggu hingga bayam benar-benar matang.', 'Siap di hidangkan.']",1661 kj,"27,12g","31,87g","11,82g",397 kkal,"6,994g",0g,"8,466g","8,683g",213mg,4g,"2,99g",1069mg,1187mg
Chicken Teriyaki,"['Hidangan Utama', 'Makan Siang']",1 porsi,5 menit,20 menit,"['86 gram chicken breast (skin not eaten)', '1 cup chopped broccoli', '1 siung garlic', '1 sedang onions', '1 kecil scallions or spring onions', '50 gram enoki mushrooms', '3 g lada putih bubuk', '1 sdt boncabe level 15', '22 ml saus teriyaki']","['Panggang ayam sampai setengah matang, masukkan bawang merah, bawang putih, tumis.', 'Masukkan brocoli dan teriyaki saus, boncabe, lada dan aduk sampai layu.', 'Masukkan jamur enoki dan scallions, masak.']",1272 kj,"3,69g","31,57g","32,81g",304 kkal,"0,951g",0,"0,849g","1,098g",72mg,"5,2g","15,48g",2949mg,864mg
Telor Dadar,"['Lauk Pauk', 'Makan Pagi', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['1 besar egg', '50 gram chives', '1 sdm, cincang scallions or spring onions', '25 g sosis ayam', '3 g lada putih bubuk', '1 sdm canola oil']","['Masukkan kucai kedalam teflon yg sudah diminyaki, masak sampai layu.', 'Kocok sosis potong dengan telor, masukkan bumbu dan daun bawang secukupnya.', 'Tuangkan adonan telor ke atas kucai, masak sampai matang.']",1029 kj,"19,17g","11,04g",7g,246 kkal,"3,455g",0g,"4,15g","8,615g",212mg,"1,4g","1,44g",243mg,232mg
Sup Tahu Brokoli,"['Lauk Pauk', 'Sup']",2 porsi,5 menit,15 menit,"['1 besar telur', '130 gram brokoli', '1 siung bawang putih', '1/2 sdt gula pasir', '5 gram garam laut', '175 gram tahu', '3 g lada putih bubuk', '5 ml minyak goreng']","['Cuci bersih brokoli dan pot dg tahu.', 'Tumis bawang putih dg minyak lalu masukkan air.', 'Masukkan brokoli rebus masukkan bumbu lalu masuk lg tahu.', 'Terakhir kocok telur dan tuang sdkit ke dlm panci rebusan.', 'Aduk rata, siap dimakan.']",663 kj,"9,32g","12,05g","8,89g",158 kkal,"2,309g",0g,"2,698g","4,14g",106mg,2g,"2,74g",1034mg,348mg
Bihun Jamur,['Hidangan Utama'],1 porsi,10 menit,15 menit,"['1 besar egg', '50 gram cooked spinach (from fresh)', '5 gram garlic', '50 gram shiitake mushrooms (stir-fried)', '100 gram vermicelli', '50 gram chicken sausage', '1 sdm kecap manis', '1.5 g kaldu rasa jamur', '1 sdm kecap asin']","['Tumis bawang putih.', 'Masukkan sosis, jamur. Angkat.', 'Orek telor, angkat.', 'Tumis bayam, angkat.', 'Rebus bihun, tiriskan.', 'Tumis bihun, masukkan kecap asin, kecap manis, dan kaldu jamur\nMasukkan sosis, jamur, telor, bayam.', 'Masukkan sosis, jamur, telor, bayam.', 'Bumbui dengan garam dan merica sesuai selera.']",1812 kj,"12,2g","25,45g","55,15g",433 kkal,"3,231g","0,15g","2,756g","4,311g",252mg,"4,8g","14,35g",2400mg,637mg
Sup Tofu Telur,"['Sup', 'Lauk Pauk']",1 porsi,10 menit,15 menit,"['1 sedang telur', '8 gram kaldu jamur', '8 gram cabai merah atau rawit', '1/4 sdt garam', '1 sdm saus tiram', '2 siung bawang putih', '3 kecil bawang merah', '2 sdm minyak goreng', '180 g egg tofu']","['Potong tahu sesuai selera, lalu cincang bawang putih dan bawang merah.', 'Panaskan minyak goreng dengan teflon, masukan bawang putih masak hingga tercium wanginya.', 'Lalu masukan bawang merah sambil diaduk agar tidak gosong.', 'Tambahkan air gelas.', 'Masukan cabai, garam, kaldu jamur dan saus tiram.', 'Lalu masukan telur, orak arik terus.', 'Kemudian masukan tofu, diamkan hingga mendidih atau sudah terlihat matang.']",2105 kj,"38,59g","18,12g","31,92g",503 kkal,"9,693g",0,"9,427g","3,958g",186mg,"5,3g","10,26g",1250mg,558mg
Nasi Goreng Mentega,"['Hidangan Utama', 'Makan Pagi', 'Makan Siang']",2 porsi,5 menit,15 menit,"['1 besar telur dadar atau telur orak-arik', '1 1/2 mangkok, dimasak nasi putih', '1 siung bawang putih', '100 g mixed vegetables', '27 g margarine']","['Tumis bawang putih cincang dengan margarine.', 'Masukkan sayur campur dan diikuti dengan nasi.', 'Tambahkan telur, orak arik, dan campur semuanya.']",1439 kj,"14,91g","8,15g","41,13g",344 kkal,"7,134g",0g,"0,714g","1,537g",106mg,"0,5g","2,66g",729mg,93mg
Tempe Goreng,"['Lauk Pauk', 'Makanan Ringan']",8 porsi,5 menit,20 menit,"['1 sdt garam', '1 siung bawang putih', '100 gram tempe']","['Iris tempe tipis tipis.', 'Beri bumbu bawang putih dan garam.', 'Lumuri bumbu dan masukkan ke air fryer dengan suhu 200°C waktu 20 menit.']",103 kj,"1,35g","2,34g","1,3g",25 kkal,"0,278g",0,"0,479g","0,375g",0mg,0g,0g,292mg,53mg
Smoothies Berry,"['Makan Pagi', 'Makanan Ringan']",2 porsi,10 menit,0 menit,"['100 gram mangga', '100 gram stroberi', '1/2 buah naga', '200 ml skimmed milk (200ml)', '20 g granola creations cinnamon & raisin']","['Masukkan semua bahan, kecuali granola dan blend.', 'Tuang ke mangkuk. Tambahkan granola.']",569 kj,"2,13g","5,28g","26,9g",136 kkal,"1,053g",0g,"0,144g","0,088g",0mg,"3,3g","18,11g",42mg,322mg
Tempe Teriyaki,"['Lauk Pauk', 'Hidangan Utama', 'Makan Siang']",1 porsi,5 menit,10 menit,"['1 siung bawang putih', '1/2 iris daun bawang', '10 gram lada pisang', '100 gram tempe', '1 sendok saus sambal', '1 sendok makan minyak goreng', '100 ml saus teriyaki']","['Potong tempe lalu panggang tempe di api kecil tanpa minyak.', 'Lalu tumis bawang putih dengan minyak, masukan saos teriyaki dan saos sambal makan dan masukkan sejumput lad.', 'Tambahkan air secukupnya lalu masukkan tempe yg sudah dipanggamg tadi, diamkan sampai bumbu meresap dengan api kecil.', 'Jika bumbu sudah meresap dan mengering taruh tempe di atas piring dan taburi daun bawang. Tempe siap di sajikan.']",2025 kj,"19,87g","18,94g","51,74g",484 kkal,"6,229g",0g,"4,863g","7,003g",0mg,"0,5g","39,75g",11626mg,455mg
Tumis Ayam Tahu Telur,"['Lauk Pauk', 'Hidangan Utama', 'Makan Siang']",1 porsi,5 menit,15 menit,"['125 gram dada ayam', '1 besar telur', '2 siung bawang putih', '1 sejumput garam laut', '1 sdm minyak goreng', '50 gram tahu', '50 ml aqua', '1 sdm saos tiram']","['Potong-potong dadu ayam dan tahu.', 'Geprek bawang putih, rajang.', 'Tumis bawang putih dengan minyak goreng sampai harum.', 'Masukkan ayam, tahu dan air, masak sampai setengah matang, masukkan saus tiram.', 'Tumis ayam dan tahu sampai matang, masukkan telur, tumis sampai telur setengah matang, tes rasa, kalau kurang asin bisa tambah garam sedikit, tumis sampai matang, sajikan.']",1929 kj,"27,12g","47,59g","4,41g",461 kkal,"8,56g",0,"7,515g","7,908g",316mg,"0,3g","1,65g",1012mg,464mg
Ayam Teriyaki,"['Lauk Pauk', 'Hidangan Utama', 'Lainnya', 'Makan Siang']",5 porsi,10 menit,30 menit,"['300 gram dada ayam', '5 sdm cabai merah atau rawit', '1/4 siung bawang putih', '1 sdm minyak goreng', '18 g royco ayam', '40 ml saus teriyaki']","['Panaskan minyak tumis bawang putih.', 'Masukan ayam dan air.', 'Tambahkan royco, saus teriyaki, dan cabai dan tunggu hingga matang.']",697 kj,"7,55g","18,38g","5,96g",167 kkal,"2,276g",0g,"2,232g","2,149g",50mg,"1,4g","3,46g",2148mg,253mg
Oseng Tahu Buncis Telur,"['Lauk Pauk', 'Makan Siang']",5 porsi,10 menit,20 menit,"['1 sedang telur', '1 sdm cabai merah atau rawit', '200 gram buncis', '1 siung bawang putih', '1 sdm minyak goreng', '181 gram tahu', '4 g royco ayam', '3 ml saori saus teriyaki']","['Panaskan minyak lalu masukkan bawang putih cincang.', 'Orak-arik telur, tambahkan tahu potong dadu dan dan sedikit air.', 'Tambahkan saus teriyaki, royco, dan cabai dan kacang buncis. Masak sebentar hingga matang.']",322 kj,"4,9g","4,89g","4,68g",77 kkal,"1,328g",0g,"1,584g","1,469g",37mg,"1,8g","1,1g",304mg,162mg
Oseng Sawi Telur,"['Makan Pagi', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['1 besar telur', '1 siung bawang putih', '1 kecil bawang merah', '50 gram sawi hijau']","['Oseng bawang merah dan bawang putih.', 'Masukkan sawi dan sedikit air.', 'Tambahkan telur, bumbui dengan garam dan merica.']",473 kj,"5,15g","7,87g","9,54g",113 kkal,"1,584g",0,"0,78g","1,929g",212mg,"1,6g",4g,105mg,306mg
Capcay Toge,"['Lainnya', 'Makan Siang', 'Hidangan Utama', 'Lauk Pauk']",2 porsi,5 menit,15 menit,"['50 gram kacang panjang hijau', '1 tongkol/bonggol besar jagung', '1 sejumput garam', '50 gram wortel', '500 ml air', '1 sdt gula pasir', '1 kecil bawang merah', '100 g sayur toge', '3 g royco ayam', '10 ml minyak goreng']","['Tumis bawang merah yang sudah diiris-iris dengan minyak panas.', 'Lalu masukkan wortel,toge, jagung, dan kacang panjang. Tambahkan air sekitar 500 ml.', 'Lalu tambahkan bumbu-bumbu penyebab seperti garam, gula dan royco (sesuai selera).', 'Lalu tunggu air menyusut menjadi setengah.', 'Setelah itu siap dihidangkan.']",837 kj,"5,51g","20,3g","23,42g",200 kkal,"1,974g",0g,"0,92g","2,53g",0mg,4g,"7,38g",532mg,376mg
Sup Telur,['Sup'],1 porsi,5 menit,10 menit,"['1 besar telur', '1 mangkok, segar sawi dimasak (dari segar)', '25 gram kaldu jamur', '1 sdt garam', '25 g sosis ayam', '3 g lada putih bubuk']","['Kocok telur dan campurkan garam.', 'Didihkan air dan jika air sudah mendidih masukkan telur kocok.', 'Kemudian masukkan sosis dan sawi bersama kaldu dan merica.']",782 kj,"10,95g","12,24g","10,99g",187 kkal,"3,082g",0,"1,642g","3,126g",212mg,"3,6g","1,01g",3254mg,223mg
Spaghetti,"['Makan Siang', 'Hidangan Utama']",1 porsi,15 menit,20 menit,"['115 gram udang', '142 gram jamur dimasak (lemak ditambahkan dalam masakan)', '3 gram kaldu jamur', '2 gram cabai merah atau rawit', '100 gram wortel', '3 gram bawang putih', '2 gelas air', '2 sejumput garam laut', '20 g quick melt keju', '15 ml minyak goreng tropical', '60 g spaghetti gluten free', '30 gram bawang bombay']","['Siapkan bahan bawang puith,bombai dan cabe rawit. Cuci bersih lalu di chop.', 'Rebus spagheti tambahkan sejumput garam dan sedikit minyak. Rebus spagheti hingga aldente kira-kira 8 menit.', 'Bersihkan udang hingga bersih dan tdk amis lagi.', 'Iris wortel berbentuk korek api dan bersihkan jamur.', 'Tumis semua bahan bawang putih, bombai dan rawit lalu masukkan udang, tumis hingga setengah matang lalu masukkan wortel dan setelah itu jamur.', 'Tambahkan air rebusan spagheti lalu di tumis dan masukkan spagheti tadi.', 'Masak sebentar lalu tambahkan keju yang sudah diparut.', 'Siap disajikan.']",2900 kj,"26,37g","44,5g","71,94g",693 kkal,"10,45g",0g,"4,229g","7,848g",237mg,"7,5g","10,89g",1751mg,1104mg
Terong Balado Rebus,"['Lauk Pauk', 'Makan Pagi', 'Makan Siang', 'Hidangan Utama']",2 porsi,10 menit,15 menit,"['50 gram cabai merah atau rawit', '1/2 sdt garam', '250 gram terung', '2 siung bawang putih', '400 ml air', '120 gram tempe', '3 sedang bawang merah', '2 g terasi', '1.75 g magic lezat']","['Haluskan semua bahan kecuali tempe dan terong.', 'Tuang bumbu ke teflon dan tambahkan air secukupnya, tutup teflon dan rebus hingga mendidih.', 'Iris terong melingkar, susun ke dalam teflon setelah rebusan cabai mendidih, jangan ditutup kambali.', 'Detelah terong setengah matang, masukkan tempe.', 'Masak hingga matang dan air surut, jangan lupa koreksi rasa.']",1264 kj,"11,22g","17,57g","44,94g",302 kkal,"2,235g",0g,"4,594g","2,546g",0mg,"13,4g","12,62g",849mg,1288mg
Tempe Tahu Orek,"['Lauk Pauk', 'Hidangan Utama']",305 porsi,5 menit,15 menit,"['16 gram bawang putih', '132 gram tempe', '166 gram tahu goreng', '25 gram bawang merah', '45 ml minyak goreng', '90 ml kecap manis', '30 g saus sambal']","['Potong potong tempe, dan tahu goreng.', 'Iris bawang merah dan bawang putih.', 'Panaskan minyak kemudian tumis bawang merah dan bawang putih yang sudah di iris tipis.', 'Setelah bawang merah dan bawang putih setengah matang masukkan tempe kemudian goreng hingga tempe setengah matang.', 'Masukkan tahu, kemudian aduk dan masukkan kecap dan sambal masak hingga matang.']",20 kj,"0,29g","0,18g","0,39g",5 kkal,"0,081g",0g,"0,132g","0,051g",0mg,0g,"0,22g",7mg,3mg
Tumis Sawi Tahu,"['Hidangan Utama', 'Lauk Pauk']",2 porsi,10 menit,15 menit,"['200 gram greens', '4 sdm vegetable oil', '2 siung garlic', '1 sedang onions', '250 g tahu kuning']","['Goreng tahu menang minyak, sisihkan.', 'Tumis bawang bombay dan bawang putih sampai harum, tambahkan garam dan merica.', 'Masukkan sawi hijau yg sudah dipotong, aduk sampai sawi layu.', 'Masukan tahu goreng yang sudah dipotong.']",1885 kj,"38,64g","14,88g","13,87g",450 kkal,"3,932g",0g,"14,256g","10,309g",0mg,"3,5g","3,04g",700mg,260mg
Shakshuka,"['Lainnya', 'Makan Pagi', 'Makan Siang']",1 porsi,5 menit,10 menit,"['2 besar telur', '1 siung bawang putih', '2 besar utuh tomat merah', '1 sdm saus tomat', '100 gram bawang bombay', '50 gram jamur kancing']","['Kupas kulit tomat, lalu di cincang/blender. Cincang bawang putih dan bawang bombay, dan jamur champignon.', 'Tumis bawang bombay dan bawang putih hingga layu, tambahkan jamur tumis lagi hingga jamur berubah warna, masukkan pure tomat, saos tomat dan air. Tambahkan Garam, lada, dan bumbu pilihan lainnya.', 'Tambahkan telur, tutup pan hingga telur matang.', 'Makanan siap dihidangkan.']",1184 kj,11g,"18,65g","31,06g",283 kkal,"3,327g",0,"2,024g","4,027g",423mg,"6,3g","18,69g",331mg,1362mg
Toast Avocado,"['Roti & Produk Panggang', 'Makan Pagi']",1 porsi,10 menit,4 menit,"['1 irisan reguler roti gandum panggang', '1 alpukat', '5 g susu kental manis', '7.5 g mentega', '10 g palm sugar']","['Panggang roti dengan mentega.', 'Keruk alpukat letakkan diatas roti.', 'Taburi gula palm.', 'Tuang susu kental manis.']",2042 kj,"37,53g","6,83g","39,95g",488 kkal,"6,757g","0,25g","4,889g","22,645g",0mg,15g,"5,15g",216mg,1059mg
Oat Almond Butter Cookies,"['Makanan Ringan', 'Roti & Produk Panggang']",25 porsi,15 menit,25 menit,"['50 gram mentega almond', '50 gram selai kacang', '1 sdt ekstrak vanila', '1 sdt baking soda', '2.6 g stevia sweetener', '15 g original yogurt', '100 g oat', '10 g raw cacao powder', '20 g dark chocolate 70%']","['Blender oat menjadi tepung.', 'Campur semua bahan kecuali choco chips. Aduk rata.', 'Terakhir tambahkan chocochips dan dibentuk.', 'Panggang di api 180°C 25menit.']",193 kj,"2,93g","1,42g","4,41g",46 kkal,"0,613g",0g,"0,525g","1,413g",0mg,"0,6g","0,57g",69mg,28mg
